,tournament_name,round,surface_in_out,type_tournament,winner_ratio,looser_ratio,winner_surface_ratio,looser_surface_ratio,year,start_date,surface,aces_0,double_fautes_0,first_serve_0,first_serve_points_won_0,second_serve_points_won_0,break_point_faced_0,break_point_saved_0,service_games_played_0,service_games_won_0,total_services_points_won_0,total_points_won_0,weight_0,age_0,plays_0,points_0,tour_cell_0,point_dropping_0,next_best_0,ranking_0,overall_match_record_0,grand_slams_match_record_0,master1000_match_record_0,tie_break_pressure_point_0,versus_top10_pressure_point_0,finals_pressure_points_0,deciding_3rd_set_pressure_point_0,set_5_pressure_point_0,clay_environment_0,grass_environment_0,hard_environment_0,indoor_environment_0,outdoor_environment_0,afterwinning_1st_set_0,after_loosing_1st_set_0,vs_right_handers_0,vs_left_handers_0,overall_title_0,grandslams_title_0,master_1000_title_0,clay_title_0,grass_title_0,hard_title_0,indoor_title_0,outdoor_title_0,aces_1,double_fautes_1,first_serve_1,first_serve_points_won_1,second_serve_points_won_1,break_point_faced_1,break_point_saved_1,service_games_played_1,total_points_won_1,weight_1,age_1,plays_1,points_1,tour_cell_1,point_dropping_1,next_best_1,ranking_1,overall_match_record_1,grand_slams_match_record_1,master1000_match_record_1,tie_break_pressure_point_1,versus_top10_pressure_point_1,finals_pressure_points_1,deciding_3rd_set_pressure_point_1,set_5_pressure_point_1,clay_environment_1,grass_environment_1,hard_environment_1,indoor_environment_1,outdoor_environment_1,afterwinning_1st_set_1,after_loosing_1st_set_1,vs_right_handers_1,vs_left_handers_1,overall_title_1,grandslams_title_1,master_1000_title_1,clay_title_1,grass_title_1,hard_title_1,indoor_title_1,outdoor_title_1,Y
69173,London,Round of 16,Outdoor Grass,grandslam,1.0,0.0,0.0,0.0,2017,2017-07-03,grass,92,33,63%,78%,55%,53,72%,109,86%,70%,54%,179,(1991.05.16),"Right-Handed, One-Handed Backhand","5,150",23,0,0,3,0.602,0.612,0.575,0.531,0.29100000000000004,0.5329999999999999,0.584,0.556,0.575,0.574,0.613,0.64,0.591,0.833,0.29600000000000004,0.599,0.597,8,0,1,1,1,6,3,5,126,16,67%,82%,62%,34,74%,159,56%,187,(1981.08.08),"Right-Handed, One-Handed Backhand","9,605",17,0,0,2,0.821,0.86,0.779,0.653,0.6459999999999999,0.66,0.649,0.5820000000000001,0.7609999999999999,0.8740000000000001,0.835,0.81,0.8240000000000001,0.9329999999999999,0.42200000000000004,0.826,0.777,103,20,28,11,19,71,26,77,1
42170,Delray Beach,2nd Round Qualifying,Outdoor Hard,250,0.3333333333333333,0.6666666666666666,0.5,0.5,2018,2018-02-19,hard,108,78,64%,74%,49%,128,66%,242,82%,65%,51%,181,(1995.08.23),"Left-Handed, Two-Handed Backhand",627,22,0,0,90,0.46,0.28600000000000003,0.35700000000000004,0.395,0.111,0.0,0.414,0.25,0.455,0.35700000000000004,0.484,0.33299999999999996,0.473,0.8079999999999999,0.083,0.447,0.5,0,0,0,0,0,0,0,0,5,7,58%,63%,41%,11,27%,19,47%,172,(1994.01.04),"Left-Handed, Two-Handed Backhand",144,22,0,0,273,0.308,0.25,0.5,0.25,0.0,0.0,0.5,1.0,0.0,0.14300000000000002,0.6,0.667,0.2,0.667,0.2,0.3,0.33299999999999996,0,0,0,0,0,0,0,0,0
43968,Paris,Round of 32,Outdoor Clay,grandslam,0.3333333333333333,0.6666666666666666,1.0,0.0,2012,2012-05-27,clay,87,65,65%,74%,54%,156,71%,356,87%,67%,55%,161,(1982.04.02),"Right-Handed, Two-Handed Backhand","6,505",25,0,0,5,0.6609999999999999,0.6970000000000001,0.608,0.517,0.305,0.519,0.634,0.622,0.7040000000000001,0.629,0.635,0.602,0.672,0.8909999999999999,0.3,0.6679999999999999,0.607,27,0,1,13,2,12,5,22,52,30,64%,69%,48%,77,53%,145,50%,160,(1982.06.25),"Right-Handed, One-Handed Backhand","1,335",25,0,0,25,0.545,0.598,0.418,0.514,0.261,0.47600000000000003,0.515,0.5379999999999999,0.511,0.57,0.5489999999999999,0.607,0.524,0.8140000000000001,0.23,0.5489999999999999,0.509,10,0,0,3,0,6,6,4,0
39579,Brisbane,3rd Round Qualifying,Outdoor Hard,250,0.0,1.0,0.0,1.0,2009,2009-01-04,hard,11,9,53%,64%,51%,22,64%,27,70%,58%,45%,175,(1980.02.29),"Right-Handed, Unknown Backhand",220,24,0,0,213,0.273,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.0,0.3,0.75,0.0,0.3,0.0,0,0,0,0,0,0,0,0,605,102,67%,75%,57%,206,69%,562,50%,238,(1985.04.26),"Right-Handed, Two-Handed Backhand","1,067",22,0,0,34,0.615,0.629,0.6,0.607,0.27699999999999997,0.536,0.568,0.36700000000000005,0.5429999999999999,0.6709999999999999,0.625,0.518,0.633,0.8390000000000001,0.297,0.611,0.638,15,0,1,1,4,10,0,15,0
55368,Miami,Round of 64,Outdoor Hard,1000,0.0,0.0,0.0,0.0,2014,2014-03-19,hard,126,71,61%,68%,53%,176,56%,334,77%,62%,50%,174,(1988.06.29),"Left-Handed, Two-Handed Backhand",898,32,0,0,44,0.45799999999999996,0.42,0.414,0.436,0.11900000000000001,0.111,0.478,0.727,0.264,0.59,0.456,0.415,0.47100000000000003,0.772,0.21,0.45,0.521,1,0,0,0,1,0,0,1,348,82,60%,78%,55%,176,72%,408,52%,205,(1985.04.17),"Right-Handed, Two-Handed Backhand","2,740",20,175,20,12,0.675,0.7290000000000001,0.611,0.583,0.33799999999999997,0.6,0.626,0.593,0.638,0.6890000000000001,0.6829999999999999,0.701,0.664,0.8809999999999999,0.33799999999999997,0.664,0.747,18,0,2,1,0,17,13,5,1
48017,Barcelona,Round of 32,Outdoor Clay,200,0.0,0.0,0.0,0.0,1999,1999-04-12,clay,70,63,64%,66%,52%,253,62%,378,75%,61%,51%,156,(1968.10.24),"Left-Handed, Unknown Backhand",986,29,0,0,38,0.5329999999999999,0.47600000000000003,0.46,0.5,0.27399999999999997,0.5329999999999999,0.502,0.5379999999999999,0.5760000000000001,0.5,0.473,0.271,0.551,0.833,0.231,0.541,0.486,8,0,0,7,0,1,0,8,121,138,53%,71%,49%,232,59%,375,50%,170,(1978.02.28),"Right-Handed, One-Handed Backhand","1,258",31,0,0,28,0.48700000000000004,0.4,0.452,0.479,0.37200000000000005,0.375,0.504,0.231,0.5539999999999999,0.0,0.38299999999999995,0.3,0.501,0.7829999999999999,0.203,0.478,0.5379999999999999,3,0,0,3,0,0,0,3,0
12214,London,Round of 32,Outdoor Grass,grandslam,0.6666666666666666,0.3333333333333333,0.0,0.0,1999,1999-06-21,grass,121,62,58%,86%,55%,31,65%,142,92%,73%,55%,200,(1973.09.06),"Left-Handed, Unknown Backhand","1,802",23,0,0,14,0.603,0.534,0.45899999999999996,0.5539999999999999,0.266,0.556,0.568,0.385,0.37,0.705,0.5920000000000001,0.672,0.568,0.83,0.27,0.584,0.7120000000000001,15,0,1,0,5,7,7,8,32,23,57%,78%,43%,39,67%,71,50%,196,(1976.05.30),"Right-Handed, Two-Handed Backhand","1,748",27,0,0,15,0.58,0.586,0.469,0.5479999999999999,0.261,0.667,0.5329999999999999,0.529,0.602,0.467,0.579,0.494,0.601,0.852,0.228,0.5820000000000001,0.557,12,0,1,7,0,5,0,12,0
24439,Lyon,Round of 32,Outdoor Clay,250,0.0,0.0,0.0,0.0,2018,2018-05-20,clay,8,8,66%,50%,45%,27,41%,29,45%,49%,46%,176,(1994.02.16),"Right-Handed, Two-Handed Backhand",322,22,0,0,163,0.31,0.364,0.0,0.526,0.0,0.0,0.375,0.5,0.2,0.33299999999999996,0.33299999999999996,0.35700000000000004,0.267,0.625,0.19,0.292,0.4,0,0,0,0,0,0,0,0,25,12,62%,66%,53%,89,69%,120,49%,159,(1987.12.26),"Right-Handed, Two-Handed Backhand",935,24,0,0,53,0.44,0.41700000000000004,0.4,0.46799999999999997,0.1,0.25,0.419,0.5,0.376,0.405,0.47200000000000003,0.561,0.379,0.77,0.141,0.45,0.375,1,0,0,0,0,1,1,0,1
74393,Metz,Round of 32,Indoor Hard,250,0.0,0.0,0.0,0.0,2012,2012-09-17,hard,106,26,60%,76%,48%,66,58%,148,81%,65%,49%,187,(1987.08.18),"Right-Handed, One-Handed Backhand",712,23,0,0,68,0.35700000000000004,0.23800000000000002,0.33299999999999996,0.397,0.091,0.0,0.298,0.25,0.303,0.435,0.35700000000000004,0.48,0.289,0.6459999999999999,0.107,0.348,0.4,0,0,0,0,0,0,0,0,4,7,48%,67%,48%,13,54%,18,46%,165,(1986.01.30),"Left-Handed, Two-Handed Backhand",229,22,0,0,210,0.267,0.16699999999999998,0.2,0.3,0.0,0.0,0.28600000000000003,0.25,0.0,0.0,0.308,0.231,0.294,0.5,0.111,0.24,0.4,0,0,0,0,0,0,0,0,1
19392,Paris,Round of 128,Outdoor Clay,grandslam,1.0,0.0,0.0,0.0,1995,1995-05-29,clay,32,10,62%,74%,54%,30,63%,54,80%,66%,51%,194,(1973.04.17),"Left-Handed, Unknown Backhand",0,0,0,0,72,0.48,0.324,0.345,0.514,0.085,0.429,0.517,0.35,0.298,0.456,0.505,0.503,0.47,0.789,0.187,0.473,0.506,3,0,0,0,0,3,1,2,11,5,67%,67%,45%,19,32%,40,44%,190,(1968.05.10),"Right-Handed, Unknown Backhand",0,0,0,0,321,0.39399999999999996,0.261,0.308,0.514,0.067,0.5,0.38799999999999996,0.2,0.222,0.313,0.446,0.33299999999999996,0.41200000000000003,0.684,0.14300000000000002,0.385,0.444,1,0,0,0,0,1,0,1,0
